Date,Open,High,Low,Close,Volume,Market Cap
20-Feb-18,$943.57,$965.26,$892.95,$895.37,"$2,545,260,000.00","$92,206,500,000.00"
19-Feb-18,$921.67,$957.78,$921.55,$943.87,"$2,169,020,000.00","$90,047,700,000.00"
18-Feb-18,$973.35,$982.93,$915.45,$923.92,"$2,567,290,000.00","$95,077,100,000.00"
17-Feb-18,$944.75,$976.60,$940.75,$974.12,"$2,525,720,000.00","$92,264,000,000.00"
16-Feb-18,$934.79,$950.00,$917.85,$944.21,"$2,369,450,000.00","$91,272,100,000.00"
15-Feb-18,$923.73,$951.95,$911.11,$936.98,"$2,900,100,000.00","$90,173,300,000.00"
14-Feb-18,$844.28,$926.43,$844.28,$923.56,"$2,818,370,000.00","$82,400,600,000.00"
13-Feb-18,$869.29,$870.71,$828.84,$845.26,"$2,081,170,000.00","$84,824,200,000.00"
12-Feb-18,$817.51,$875.94,$817.51,$868.71,"$2,243,450,000.00","$79,754,400,000.00"
11-Feb-18,$859.29,$859.29,$788.22,$814.66,"$2,486,650,000.00","$83,813,000,000.00"
10-Feb-18,$882.47,$917.40,$825.58,$860.41,"$2,930,530,000.00","$86,055,600,000.00"
9-Feb-18,$818.48,$884.00,$788.83,$883.87,"$2,495,820,000.00","$79,799,300,000.00"
8-Feb-18,$755.84,$845.09,$755.84,$817.81,"$3,708,190,000.00","$73,676,900,000.00"
7-Feb-18,$790.43,$851.20,$723.43,$757.07,"$3,896,180,000.00","$77,032,000,000.00"
6-Feb-18,$707.74,$796.44,$574.42,$793.12,"$6,518,270,000.00","$68,958,700,000.00"
5-Feb-18,$834.96,$856.65,$644.60,$697.95,"$4,269,530,000.00","$81,337,400,000.00"
4-Feb-18,$964.67,$969.03,$805.06,$834.68,"$2,997,090,000.00","$93,953,400,000.00"
3-Feb-18,$919.21,$991.94,$847.69,$964.02,"$3,243,480,000.00","$89,507,600,000.00"
2-Feb-18,"$1,035.77","$1,035.77",$757.98,$915.78,"$6,713,290,000.00","$100,836,000,000.00"
1-Feb-18,"$1,119.37","$1,161.35",$984.82,"$1,036.79","$5,261,680,000.00","$108,952,000,000.00"
31-Jan-18,"$1,071.09","$1,128.66","$1,034.50","$1,118.31","$3,757,560,000.00","$104,231,000,000.00"
30-Jan-18,"$1,184.13","$1,184.63","$1,058.97","$1,071.13","$4,107,860,000.00","$115,207,000,000.00"
29-Jan-18,"$1,246.70","$1,256.70","$1,169.08","$1,182.36","$3,715,080,000.00","$121,269,000,000.00"
28-Jan-18,"$1,111.78","$1,257.77","$1,111.78","$1,246.01","$5,372,330,000.00","$108,122,000,000.00"
27-Jan-18,"$1,055.75","$1,121.98","$1,042.12","$1,107.07","$3,002,870,000.00","$102,651,000,000.00"
26-Jan-18,"$1,052.70","$1,080.60",$996.78,"$1,055.17","$3,617,690,000.00","$102,334,000,000.00"
25-Jan-18,"$1,063.22","$1,104.66","$1,034.74","$1,056.03","$4,050,190,000.00","$103,335,000,000.00"
24-Jan-18,$987.48,"$1,062.44",$965.81,"$1,058.78","$3,944,040,000.00","$95,952,700,000.00"
23-Jan-18,"$1,004.17","$1,023.23",$920.54,$986.23,"$3,556,700,000.00","$97,554,300,000.00"
22-Jan-18,"$1,055.35","$1,089.10",$930.74,"$1,003.26","$3,810,100,000.00","$102,504,000,000.00"
21-Jan-18,"$1,155.68","$1,155.68","$1,021.50","$1,049.58","$3,378,090,000.00","$112,226,000,000.00"
20-Jan-18,"$1,044.95","$1,167.11","$1,044.95","$1,155.15","$3,975,190,000.00","$101,451,000,000.00"
19-Jan-18,"$1,028.82","$1,093.22","$1,003.71","$1,039.10","$4,084,450,000.00","$99,863,900,000.00"
18-Jan-18,"$1,016.44","$1,100.31",$967.76,"$1,036.28","$5,938,320,000.00","$98,642,100,000.00"
17-Jan-18,"$1,061.34","$1,090.23",$780.92,"$1,014.25","$8,545,160,000.00","$102,974,000,000.00"
16-Jan-18,"$1,292.63","$1,292.63",$875.54,"$1,053.69","$8,405,140,000.00","$125,389,000,000.00"
15-Jan-18,"$1,365.21","$1,390.59","$1,290.60","$1,291.92","$4,781,100,000.00","$132,404,000,000.00"
14-Jan-18,"$1,397.48","$1,400.56","$1,286.21","$1,366.77","$4,841,630,000.00","$135,503,000,000.00"
13-Jan-18,"$1,270.47","$1,432.88","$1,270.47","$1,396.42","$5,746,760,000.00","$123,163,000,000.00"
12-Jan-18,"$1,158.29","$1,296.04","$1,120.09","$1,273.20","$5,222,300,000.00","$112,263,000,000.00"
11-Jan-18,"$1,268.09","$1,337.30","$1,135.17","$1,154.93","$7,235,900,000.00","$122,879,000,000.00"
10-Jan-18,"$1,300.34","$1,417.38","$1,226.60","$1,255.82","$9,214,950,000.00","$125,976,000,000.00"
9-Jan-18,"$1,146.00","$1,320.98","$1,145.49","$1,299.74","$7,965,460,000.00","$110,999,000,000.00"
8-Jan-18,"$1,158.26","$1,266.93","$1,016.05","$1,148.53","$8,450,970,000.00","$112,164,000,000.00"
7-Jan-18,"$1,043.01","$1,153.17","$1,043.01","$1,153.17","$5,569,880,000.00","$100,981,000,000.00"
6-Jan-18,$995.15,"$1,060.71",$994.62,"$1,041.68","$4,662,220,000.00","$96,326,500,000.00"
5-Jan-18,$975.75,"$1,075.39",$956.33,$997.72,"$6,683,150,000.00","$94,423,900,000.00"
4-Jan-18,$961.71,"$1,045.08",$946.09,$980.92,"$6,502,860,000.00","$93,049,400,000.00"
3-Jan-18,$886.00,$974.47,$868.45,$962.72,"$5,093,160,000.00","$85,703,500,000.00"
2-Jan-18,$772.35,$914.83,$772.35,$884.44,"$5,783,350,000.00","$74,695,700,000.00"
1-Jan-18,$755.76,$782.53,$742.00,$772.64,"$2,595,760,000.00","$73,075,800,000.00"
31-Dec-17,$712.21,$760.35,$710.12,$756.73,"$2,554,270,000.00","$68,850,800,000.00"
30-Dec-17,$753.82,$753.82,$685.23,$717.26,"$3,187,780,000.00","$72,856,900,000.00"
29-Dec-17,$740.39,$770.12,$729.61,$753.59,"$2,648,970,000.00","$71,544,300,000.00"
28-Dec-17,$762.21,$763.32,$701.19,$737.02,"$2,389,150,000.00","$73,637,100,000.00"
27-Dec-17,$774.97,$789.25,$738.41,$762.84,"$2,100,030,000.00","$74,854,100,000.00"
26-Dec-17,$763.37,$786.79,$760.93,$773.84,"$2,201,160,000.00","$73,717,800,000.00"
25-Dec-17,$698.87,$782.52,$698.87,$765.83,"$2,491,760,000.00","$67,475,100,000.00"
24-Dec-17,$721.77,$721.77,$614.92,$694.15,"$2,300,550,000.00","$69,671,200,000.00"
23-Dec-17,$681.32,$763.89,$679.73,$719.39,"$2,480,340,000.00","$65,752,100,000.00"
22-Dec-17,$822.64,$827.68,$543.76,$674.86,"$4,977,710,000.00","$79,374,400,000.00"
21-Dec-17,$820.24,$880.54,$792.69,$821.06,"$3,569,060,000.00","$79,125,300,000.00"
20-Dec-17,$827.52,$845.06,$756.00,$819.09,"$3,969,940,000.00","$79,810,600,000.00"
19-Dec-17,$793.90,$881.94,$785.34,$826.82,"$4,096,550,000.00","$76,552,200,000.00"
18-Dec-17,$721.73,$803.93,$689.23,$794.64,"$3,249,230,000.00","$69,578,400,000.00"
17-Dec-17,$696.24,$735.83,$696.24,$719.98,"$2,147,390,000.00","$67,106,400,000.00"
16-Dec-17,$686.19,$718.38,$680.79,$696.21,"$2,165,690,000.00","$66,124,200,000.00"
15-Dec-17,$696.38,$697.13,$621.06,$684.45,"$2,758,710,000.00","$67,090,900,000.00"
14-Dec-17,$700.59,$753.12,$664.99,$695.82,"$3,821,580,000.00","$67,482,900,000.00"
13-Dec-17,$644.91,$747.99,$597.80,$702.77,"$4,524,540,000.00","$62,105,600,000.00"
12-Dec-17,$522.29,$657.32,$504.49,$651.43,"$5,179,830,000.00","$50,286,400,000.00"
11-Dec-17,$440.36,$516.97,$439.10,$515.14,"$1,771,440,000.00","$42,389,300,000.00"
10-Dec-17,$472.79,$472.79,$429.51,$441.72,"$1,404,180,000.00","$45,501,400,000.00"
9-Dec-17,$457.34,$504.15,$456.25,$473.50,"$2,003,850,000.00","$44,005,600,000.00"
8-Dec-17,$434.99,$466.06,$422.37,$456.03,"$2,336,380,000.00","$41,845,800,000.00"
7-Dec-17,$426.37,$441.40,$414.41,$434.41,"$2,129,570,000.00","$41,007,600,000.00"
6-Dec-17,$462.60,$462.71,$420.21,$428.59,"$1,998,260,000.00","$44,483,100,000.00"
5-Dec-17,$470.29,$473.56,$457.66,$463.28,"$1,216,720,000.00","$45,212,800,000.00"
4-Dec-17,$466.05,$474.78,$453.31,$470.20,"$1,005,550,000.00","$44,795,700,000.00"
3-Dec-17,$463.70,$482.81,$451.85,$465.85,"$990,557,000.00","$44,560,500,000.00"
2-Dec-17,$466.85,$476.24,$456.65,$463.45,"$943,650,000.00","$44,853,300,000.00"
1-Dec-17,$445.21,$472.61,$428.31,$466.54,"$1,247,880,000.00","$42,765,000,000.00"
30-Nov-17,$431.21,$465.50,$401.24,$447.11,"$1,903,040,000.00","$41,411,900,000.00"
29-Nov-17,$473.28,$522.31,$425.07,$427.52,"$2,675,940,000.00","$45,442,100,000.00"
28-Nov-17,$480.52,$482.48,$466.35,$472.90,"$1,346,500,000.00","$46,127,200,000.00"
27-Nov-17,$471.53,$493.40,$468.49,$480.36,"$1,396,480,000.00","$45,255,000,000.00"
26-Nov-17,$465.97,$472.72,$451.61,$471.33,"$1,197,780,000.00","$44,712,100,000.00"
25-Nov-17,$475.68,$485.19,$461.05,$466.28,"$1,422,080,000.00","$45,633,400,000.00"
24-Nov-17,$412.50,$480.97,$402.76,$474.91,"$2,292,830,000.00","$39,564,300,000.00"
23-Nov-17,$381.44,$425.55,$376.09,$410.17,"$1,845,680,000.00","$36,577,300,000.00"
22-Nov-17,$360.31,$381.42,$360.15,$380.65,"$800,819,000.00","$34,544,000,000.00"
